,date,max_temp,min_temp
433,2021-03-23,19,10
434,2021-03-24,21,9
435,2021-03-25,23,12
436,2021-03-26,26,17
437,2021-03-27,16,10
438,2021-03-28,25,12
439,2021-03-29,25,15
440,2021-03-30,20,12
441,2021-04-01,13,12
442,2021-04-02,15,13
443,2021-04-03,14,8
444,2021-04-04,16,5
445,2021-04-05,17,10
446,2021-04-06,21,12
447,2021-04-07,17,10
448,2021-04-08,18,7
449,2021-04-09,20,8
450,2021-04-10,20,12
451,2021-04-11,17,15
452,2021-04-12,18,12
453,2021-04-13,19,10
454,2021-04-14,14,10
455,2021-04-15,20,13
456,2021-04-16,23,12
457,2021-04-17,21,7
458,2021-04-18,20,9
459,2021-04-19,24,14
460,2021-04-20,23,17
461,2021-04-21,19,17
462,2021-04-22,21,17
463,2021-04-23,22,16
464,2021-04-24,17,15
465,2021-04-25,17,16
466,2021-04-26,23,16
467,2021-04-27,21,13
468,2021-04-28,25,13
469,2021-04-29,24,15
470,2021-05-01,26,14
471,2021-05-02,22,14
472,2021-05-03,26,19
473,2021-05-04,19,14
474,2021-05-05,26,16
475,2021-05-06,25,16
476,2021-05-07,27,15
477,2021-05-08,31,18
478,2021-05-09,32,21
479,2021-05-10,33,21
480,2021-05-11,20,18
481,2021-05-12,20,19
482,2021-05-13,23,20
483,2021-05-14,30,22
484,2021-05-15,30,20
485,2021-05-16,24,15
486,2021-05-17,23,15
487,2021-05-18,23,17
488,2021-05-19,20,17
489,2021-05-20,21,17
490,2021-05-21,27,18
491,2021-05-22,28,19
492,2021-05-23,20,18
493,2021-05-24,28,19
494,2021-05-25,30,20
495,2021-05-26,19,18
496,2021-05-27,28,21
497,2021-05-28,29,18
498,2021-05-29,29,19
499,2021-05-30,31,21
500,2021-06-01,29,22
501,2021-06-02,29,21
502,2021-06-03,24,19
503,2021-06-04,28,18
504,2021-06-05,32,19
505,2021-06-06,33,21
506,2021-06-07,35,21
507,2021-06-08,29,22
508,2021-06-09,32,24
509,2021-06-10,29,22
510,2021-06-11,32,22
511,2021-06-12,31,24
512,2021-06-13,27,24
513,2021-06-14,31,26
514,2021-06-15,33,23
515,2021-06-16,26,23
516,2021-06-17,27,24
517,2021-06-18,25,21
518,2021-06-19,26,19
519,2021-06-20,28,19
520,2021-06-21,31,21
521,2021-06-22,31,20
522,2021-06-23,33,21
523,2021-06-24,34,23
524,2021-06-25,31,23
525,2021-06-26,28,24
526,2021-06-27,28,23
527,2021-06-28,31,22
528,2021-06-29,31,24
529,2021-07-01,31,24
530,2021-07-02,31,24
531,2021-07-03,31,24
532,2021-07-04,31,24
533,2021-07-05,31,24
534,2021-07-06,31,24
535,2021-07-07,31,24
536,2021-07-08,31,24
537,2021-07-09,31,24
538,2021-07-10,31,24
539,2021-07-11,31,24
540,2021-07-12,31,24
541,2021-07-13,31,24
542,2021-07-14,31,24
543,2021-07-15,31,24
544,2021-07-16,31,24
545,2021-07-17,31,24
546,2021-07-18,31,24
547,2021-07-19,31,24
548,2021-07-20,31,24
549,2021-07-21,31,24
550,2021-07-22,31,24
551,2021-07-23,31,24
552,2021-07-24,31,24
553,2021-07-25,31,24
554,2021-07-26,31,24
555,2021-07-27,31,24
556,2021-07-28,31,24
557,2021-07-29,31,24
558,2021-07-30,31,24
559,2021-08-01,34,25
560,2021-08-02,33,26
561,2021-08-03,32,27
562,2021-08-04,33,25
563,2021-08-05,33,25
564,2021-08-06,33,25
565,2021-08-07,32,25
566,2021-08-08,34,24
567,2021-08-09,31,25
568,2021-08-10,33,25
569,2021-08-11,29,25
570,2021-08-12,28,24
571,2021-08-13,28,23
572,2021-08-14,27,23
573,2021-08-15,26,23
574,2021-08-16,24,22
575,2021-08-17,31,22
576,2021-08-18,31,23
577,2021-08-19,31,24
578,2021-08-20,30,25
579,2021-08-21,29,24
580,2021-08-22,32,26
581,2021-08-23,33,25
582,2021-08-24,28,23
583,2021-08-25,32,24
584,2021-08-26,32,23
585,2021-08-27,26,23
586,2021-08-28,29,24
587,2021-08-29,32,25
588,2021-08-30,34,26
589,2021-09-01,32,25
590,2021-09-02,29,23
591,2021-09-03,30,24
592,2021-09-04,31,26
593,2021-09-05,30,23
594,2021-09-06,28,23
595,2021-09-07,26,22
596,2021-09-08,30,23
597,2021-09-09,32,23
598,2021-09-10,34,24
599,2021-09-11,32,24
600,2021-09-12,31,24
601,2021-09-13,28,24
602,2021-09-14,30,21
603,2021-09-15,30,21
604,2021-09-16,30,19
605,2021-09-17,29,20
606,2021-09-18,30,21
607,2021-09-19,33,22
608,2021-09-20,26,19
609,2021-09-21,32,22
610,2021-09-22,34,21
611,2021-09-23,35,22
612,2021-09-24,31,22
613,2021-09-25,30,22
614,2021-09-26,31,22
615,2021-09-27,30,23
616,2021-09-28,31,23
617,2021-09-29,24,18
618,2021-10-01,30,20
619,2021-10-02,32,23
620,2021-10-03,34,23
621,2021-10-04,34,23
622,2021-10-05,32,21
623,2021-10-06,31,21
624,2021-10-07,23,21
625,2021-10-08,23,21
626,2021-10-09,30,22
627,2021-10-10,28,16
628,2021-10-11,20,16
629,2021-10-12,23,18
630,2021-10-13,22,19
631,2021-10-14,27,18
632,2021-10-15,18,14
633,2021-10-16,15,8
634,2021-10-17,16,9
635,2021-10-18,18,10
636,2021-10-19,17,11
637,2021-10-20,12,8
638,2021-10-21,17,9
639,2021-10-22,18,10
640,2021-10-23,19,12
641,2021-10-24,21,10
642,2021-10-25,21,12
643,2021-10-26,22,14
644,2021-10-27,22,14
645,2021-10-28,21,11
646,2021-10-29,21,14
647,2021-10-30,23,12
648,2021-11-01,23,14
649,2021-11-02,19,13
650,2021-11-03,22,13
651,2021-11-04,19,16
652,2021-11-05,20,17
653,2021-11-06,18,15
654,2021-11-07,19,3
655,2021-11-08,9,2
656,2021-11-09,14,5
657,2021-11-10,16,5
658,2021-11-11,17,6
659,2021-11-12,18,8
660,2021-11-13,19,6
661,2021-11-14,20,6
662,2021-11-15,21,11
663,2021-11-16,20,9
664,2021-11-17,16,9
665,2021-11-18,19,9
666,2021-11-19,20,10
667,2021-11-20,20,13
668,2021-11-21,15,3
669,2021-11-22,9,-1
670,2021-11-23,10,2
671,2021-11-24,16,5
672,2021-11-25,18,4
673,2021-11-26,17,6
674,2021-11-27,16,8
675,2021-11-28,18,9
676,2021-11-29,20,8
677,2021-12-01,9,0
678,2021-12-02,12,1
679,2021-12-03,15,3
680,2021-12-04,15,2
681,2021-12-05,16,4
682,2021-12-06,17,5
683,2021-12-07,14,6
684,2021-12-08,15,9
685,2021-12-09,16,5
686,2021-12-10,16,5
687,2021-12-11,13,6
688,2021-12-12,9,0
689,2021-12-13,10,2
690,2021-12-14,13,6
691,2021-12-15,15,9
692,2021-12-16,12,2
693,2021-12-17,9,-4
694,2021-12-18,7,-1
695,2021-12-19,13,1
